iso_code,continent,location,population,world_population,people_vaccinated,total_vaccination,dose_nr_avg,total_boosers,total_cases,total_deaths,population_over_64,population_over_69,extreme_poverty_rate,life_exp,handwashing_fac_rate,cardiov_deaths_per100k,male_smokers_perc,female_smokers_perc,gdp_per_capita
EGY,Africa,Egypt,"110,990,096.00","8,045,247,353.00","56,907,319.00","112,673,535.00",2,"15,217,352.00","516,023.00","24,830.00",5.16,2.89,1.3,71.99,89.83,525.43,50.1,0.2,"3,886.72"
FJI,Oceania,Fiji,"929,769.00","8,045,247,353.00","712,025.00","1,555,182.00",2,"172,046.00","69,047.00",885,6.22,3.28,1.4,67.44, -   ,412.82,34.8,10.2,"4,656.05"
FLK,South America,Falkland Islands,"3,801.00","8,045,247,353.00","2,632.00","4,407.00",2, -   ,"1,923.00", -   , -   , -   , -   ,81.44, -   , -   , -   , -   , -   
GHA,Africa,Ghana,"33,475,870.00","8,045,247,353.00","13,864,186.00","25,624,828.00",2,"4,806,017.00","171,834.00","1,462.00",3.39,1.95,12,64.07,41.05,298.25,7.7,0.3,"2,422.09"
HUN,Europe,Hungary,"9,967,304.00","8,045,247,353.00","6,420,813.00","16,701,238.00",3,"4,316,982.00","2,229,538.00","49,022.00",18.58,11.98,0.5,76.88, -   ,278.3,34.8,26.8,"18,753.05"
IRL,Europe,Ireland,"5,023,108.00","8,045,247,353.00","4,111,392.00","11,146,000.00",3,"3,210,525.00","1,732,675.00","9,450.00",13.93,8.68,0.2,82.3, -   ,126.46,25.7,23,"102,001.80"
ISR,Asia,Israel,"9,449,000.00","8,045,247,353.00","6,723,119.00","18,649,248.00",3,"5,766,304.00","4,841,558.00","12,707.00",11.73,7.36,0.5,82.97, -   ,93.32,35.4,15.4,"52,129.52"
LTU,Europe,Lithuania,"2,750,058.00","8,045,247,353.00","1,958,235.00","4,604,475.00",2,"948,558.00","1,361,865.00","9,788.00",19,13.78,0.7,75.93, -   ,342.99,38,21.3,"23,849.62"
JPN,Asia,Japan,"123,951,696.00","8,045,247,353.00","104,705,133.00","383,747,738.00",4,"175,662,262.00","33,803,572.00","74,694.00",27.05,18.49, -   ,84.63, -   ,79.37,33.7,11.2,"40,058.54"
KEN,Africa,Kenya,"54,027,484.00","8,045,247,353.00","14,494,372.00","23,750,431.00",2,"2,000,636.00","344,094.00","5,689.00",2.69,1.53,36.8,66.7,24.65,218.64,20.4,1.2,"2,069.66"
KGZ,Asia,Kyrgyzstan,"6,630,621.00","8,045,247,353.00","1,736,541.00","3,661,335.00",2, -   ,"88,953.00","1,024.00",4.49,2.88,1.4,71.45,89.22,436.36,50.5,3.6,"1,365.51"
BLM,North America,Saint Barthelemy,"10,994.00","8,045,247,353.00", -   , -   , NULL , -   ,"5,507.00",5, -   , -   , -   , -   , -   , -   , -   , -   , -   
KAZ,Asia,Kazakhstan,"19,397,998.00","8,045,247,353.00","10,858,101.00","38,355,605.00",4,"2,514,071.00","1,503,205.00","19,072.00",6.99,4.63,0.1,73.6,99,466.79,43.1,7,"10,373.79"
LVA,Europe,Latvia,"1,850,654.00","8,045,247,353.00","1,346,184.00","2,895,716.00",2,"529,562.00","977,701.00","7,465.00",19.75,14.14,0.7,75.29, -   ,350.06,51,25.6,"20,930.40"
MTQ,North America,Martinique,"367,512.00","8,045,247,353.00", -   , -   , NULL , -   ,"230,354.00","1,104.00", -   ,12.54, -   ,82.54, -   , -   , -   , -   , -   
MAC,Asia,Macao,"695,180.00","8,045,247,353.00","679,703.00","1,802,985.00",3,"481,016.00", -   , -   ,9.8,4.99, -   ,84.24, -   , -   , -   , -   ,"45,104.89"
BGD,Asia,Bangladesh,"171,186,368.00","8,045,247,353.00","151,504,463.00","361,675,132.00",2,"68,558,866.00","2,047,297.00","29,482.00",5.1,3.26,14.8,72.59,34.81,298,44.7,1,"2,457.92"
BEN,Africa,Benin,"13,352,864.00","8,045,247,353.00","3,697,190.00","4,232,541.00",1, -   ,"28,036.00",163,3.24,1.94,49.6,61.77,11.04,235.85,12.3,0.6,"1,360.91"
CAN,North America,Canada,"38,454,328.00","8,045,247,353.00","34,742,937.00","102,349,998.00",3,"34,442,765.00","4,774,222.00","54,127.00",16.98,10.8,0.5,82.43, -   ,105.6,16.6,12,"52,515.20"
BHS,North America,Bahamas,"409,989.00","8,045,247,353.00","174,810.00","366,359.00",2,"36,965.00","38,084.00",844,9,5.2, -   ,73.92, -   ,235.95,20.4,3.1,"28,260.43"
COG,Africa,Congo,"5,970,430.00","8,045,247,353.00","695,760.00","833,210.00",1, -   ,"25,213.00",389,3.4,2.06,37,64.57,47.96,344.09,52.3,1.7,"2,540.47"
BOL,South America,Bolivia,"12,224,114.00","8,045,247,353.00","7,361,008.00","14,690,530.00",2,"2,167,589.00","1,211,716.00","22,385.00",6.7,4.39,7.1,71.51,25.38,204.3, -   , -   ,"3,345.02"
COL,South America,Colombia,"51,874,028.00","8,045,247,353.00","43,012,174.00","90,506,612.00",2,"14,792,792.00","6,393,550.00","142,727.00",7.65,4.31,4.5,77.29,65.39,124.24,13.5,4.7,"6,182.71"
ESP,Europe,Spain,"47,558,632.00","8,045,247,353.00","41,351,234.00","105,840,320.00",3,"26,559,282.00","13,980,340.00","121,852.00",19.44,13.8,1,83.56, -   ,99.4,31.4,27.4,"30,488.82"
CYP,Europe,Cyprus,"896,007.00","8,045,247,353.00","671,193.00","1,798,610.00",3,"481,275.00","681,110.00","1,365.00",13.42,8.56, -   ,80.98, -   ,141.17,52.7,19.6,"32,745.84"
EST,Europe,Estonia,"1,326,064.00","8,045,247,353.00","870,133.00","2,169,908.00",2,"657,816.00","609,520.00","2,986.00",19.45,13.49,0.5,78.74, -   ,255.57,39.3,24.5,"27,943.70"
DOM,North America,Dominican Republic,"11,228,821.00","8,045,247,353.00","7,367,193.00","16,430,339.00",2,"2,574,938.00","661,180.00","4,384.00",6.98,4.42,1.6,74.08,55.18,266.65,19.1,8.5,"8,476.75"
GIB,Europe,Gibraltar,"32,677.00","8,045,247,353.00","42,175.00","132,810.00",3,"49,170.00","20,550.00",113, -   , -   , -   ,79.93, -   , -   , -   , -   , -   
ETH,Africa,Ethiopia,"123,379,928.00","8,045,247,353.00","52,489,512.00","68,856,793.00",1,"5,978,070.00","501,117.00","7,574.00",3.53,2.06,26.7,66.6,7.96,182.63,8.5,0.4,925
GGY,Europe,Guernsey,"63,329.00","8,045,247,353.00","54,223.00","178,525.00",3,"69,339.00","35,326.00",67, -   , -   , -   , -   , -   , -   , -   , -   , -   
GLP,North America,Guadeloupe,"395,762.00","8,045,247,353.00", -   , -   , NULL , -   ,"203,235.00","1,021.00", -   , -   , -   ,82.14, -   , -   , -   , -   , -   
GNB,Africa,Guinea-Bissau,"2,105,580.00","8,045,247,353.00","747,057.00","920,752.00",1,"76,359.00","9,614.00",177,3,1.57,67.1,58.32,6.4,382.47, -   , -   ,795.12
GRL,North America,Greenland,"56,494.00","8,045,247,353.00","41,227.00","79,738.00",2, -   ,"11,971.00",21, -   , -   , -   ,71.7, -   ,199.94, -   , -   ,"57,116.30"
GUY,South America,Guyana,"808,727.00","8,045,247,353.00","495,285.00","960,133.00",2,"82,864.00","74,129.00","1,300.00",5.31,2.84, -   ,69.91,77.16,373.16, -   , -   ,"9,994.65"
HRV,Europe,Croatia,"4,030,361.00","8,045,247,353.00","2,323,025.00","5,374,628.00",2,"594,785.00","1,309,728.00","18,687.00",19.72,13.05,0.7,78.49, -   ,253.78,39.9,34.3,"17,809.03"
IND,Asia,India,"1,417,173,120.00","8,045,247,353.00","1,027,422,264.00","2,206,761,155.00",2,"227,350,607.00","45,026,139.00","533,454.00",5.99,3.41,21.2,69.66,59.55,282.28,20.6,1.9,"2,238.13"
ISL,Europe,Iceland,"372,903.00","8,045,247,353.00","309,770.00","805,469.00",3,"250,542.00","209,878.00",186,14.43,9.21,0.2,82.99, -   ,117.99,15.2,14.3,"68,710.24"
ITA,Europe,Italy,"59,037,472.00","8,045,247,353.00","50,936,719.00","144,608,839.00",3,"47,765,365.00","26,699,442.00","195,996.00",23.02,16.24,2,83.51, -   ,113.15,27.8,19.8,"36,449.26"
KOR,Asia,South Korea,"51,815,808.00","8,045,247,353.00","44,784,499.00","129,647,782.00",3,"41,325,954.00","34,571,873.00","35,934.00",13.91,8.62,0.2,83.03, -   ,86,40.9,6.2,"35,142.26"
LKA,Asia,Sri Lanka,"21,832,150.00","8,045,247,353.00","17,143,761.00","40,116,590.00",2,"8,220,002.00","672,745.00","16,896.00",10.07,5.33,0.7,76.98, -   ,197.09,27,0.3,"3,996.57"
MNE,Europe,Montenegro,"627,082.00","8,045,247,353.00","292,783.00","679,171.00",2,"101,519.00","251,280.00","2,654.00",14.76,9.4,1,76.88, -   ,387.31,47.9,44,"9,465.96"
MSR,North America,Montserrat,"4,413.00","8,045,247,353.00","2,104.00","4,619.00",2,563,"1,403.00",8, -   , -   , -   ,74.16, -   , -   , -   , -   , -   
NER,Africa,Niger,"26,207,982.00","8,045,247,353.00","6,248,483.00","7,372,208.00",1, -   ,"9,515.00",315,2.55,1.38,44.5,62.42,8.98,238.34,15.4,0.1,590.63
NZL,Oceania,New Zealand,"5,185,289.00","8,045,247,353.00","4,302,330.00","12,958,300.00",3,"4,498,381.00","2,475,546.00","3,768.00",15.32,9.72, -   ,82.29, -   ,128.8,17.2,14.8,"49,996.42"
POL,Europe,Poland,"39,857,144.00","8,045,247,353.00","22,877,472.00","58,032,403.00",3,"15,394,535.00","6,653,365.00","120,577.00",16.76,10.2, -   ,78.73, -   ,227.33,33.1,23.3,"18,050.28"
PRK,Asia,North Korea,"26,069,416.00","8,045,247,353.00", -   , -   , NULL , -   , -   , -   ,9.49,6.14, -   ,72.27, -   ,321.68, -   , -   , -   
SMR,Europe,San Marino,"33,690.00","8,045,247,353.00","26,357.00","69,338.00",3,"19,348.00","25,292.00",126, -   , -   , -   ,84.97, -   , -   , -   , -   ,"54,982.45"
IMN,Europe,Isle of Man,"84,534.00","8,045,247,353.00","69,560.00","189,994.00",3,"53,328.00","38,008.00",116, -   , -   , -   ,81.4, -   , -   , -   , -   , -   
LUX,Europe,Luxembourg,"647,601.00","8,045,247,353.00","481,957.00","1,374,547.00",3,"459,119.00","390,788.00","1,000.00",14.31,9.84,0.2,82.25, -   ,128.28,26,20.9,"133,711.79"
MKD,Europe,North Macedonia,"2,093,606.00","8,045,247,353.00","854,570.00","1,862,987.00",2,"161,633.00","350,499.00","9,968.00",13.26,8.16,5,75.8, -   ,322.69, -   , -   ,"6,778.56"
MLT,Europe,Malta,"533,293.00","8,045,247,353.00","478,953.00","1,408,719.00",3,"492,584.00","121,283.00",906,19.43,11.32,0.2,82.53, -   ,168.71,30.2,20.9,"34,881.29"
WSM,Oceania,Samoa,"222,390.00","8,045,247,353.00","191,403.00","453,083.00",2,"82,268.00","16,962.00",31,5.61,3.56, -   ,73.32, -   ,348.98,38.1,16.7,"3,857.69"
MNG,Asia,Mongolia,"3,398,373.00","8,045,247,353.00","2,272,965.00","5,492,919.00",2,"1,044,337.00","1,011,456.00","2,284.00",4.03,2.42,0.5,69.87,71.18,460.04,46.5,5.5,"4,566.14"
NCL,Oceania,New Caledonia,"289,959.00","8,045,247,353.00","192,375.00","480,702.00",2,"103,511.00","80,064.00",314,9.95,6.49, -   ,77.55, -   , -   , -   , -   ,"37,247.49"
NIC,North America,Nicaragua,"6,948,395.00","8,045,247,353.00","6,404,524.00","15,507,763.00",2,"2,892,531.00","16,116.00",245,5.45,3.52,3.2,74.48, -   ,137.02, -   , -   ,"2,064.93"
OWID_NIR,Europe,Northern Ireland,"1,896,000.00","8,045,247,353.00","1,430,694.00","4,600,649.00",3,"2,234,611.00", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
PER,South America,Peru,"34,049,588.00","8,045,247,353.00","30,563,708.00","91,412,580.00",3,"32,139,228.00","4,536,733.00","221,583.00",7.15,4.46,3.5,76.74, -   ,85.76, -   ,4.8,"6,635.46"
PRI,North America,Puerto Rico,"3,252,412.00","8,045,247,353.00", -   , -   , NULL , -   ,"1,252,713.00","5,938.00",15.17,9.83, -   ,80.1, -   ,108.09, -   , -   ,"32,601.57"
PSE,Asia,Palestine,"5,250,076.00","8,045,247,353.00","2,012,767.00","3,748,571.00",2,"336,967.00","703,228.00","5,708.00",3.04,1.73,1,74.05, -   ,265.91, -   , -   ,"3,678.64"
ROU,Europe,Romania,"19,659,270.00","8,045,247,353.00","8,188,146.00","16,827,486.00",2, -   ,"3,519,108.00","68,676.00",17.85,11.69,5.7,76.05, -   ,370.95,37.1,22.9,"14,946.62"
SVK,Europe,Slovakia,"5,643,455.00","8,045,247,353.00","2,595,901.00","5,754,313.00",2,"684,026.00","1,877,065.00","21,218.00",15.07,9.17,0.7,77.54, -   ,287.96,37.7,23.1,"21,768.15"
TCA,North America,Turks and Caicos Islands,"45,726.00","8,045,247,353.00","32,815.00","73,907.00",2,"7,443.00","6,713.00",40, -   , -   , -   ,80.22, -   , -   , -   , -   ,"23,158.64"
TKM,Asia,Turkmenistan,"6,430,777.00","8,045,247,353.00","4,614,869.00","16,775,970.00",4,"3,816,400.00", -   , -   ,4.28,2.54, -   ,68.19,100,536.78, -   , -   ,"7,885.30"
TUR,Asia,Turkey,"85,341,248.00","8,045,247,353.00","57,941,051.00","152,543,341.00",3,"41,425,329.00","17,004,677.00","101,419.00",8.15,5.06,0.2,77.69, -   ,171.29,41.1,14.1,"9,743.21"
TZA,Africa,Tanzania,"65,497,752.00","8,045,247,353.00","34,434,933.00","39,392,419.00",1,"7,171,363.00","43,223.00",846,3.11,1.87,49.1,65.46,47.95,217.29,26.7,3.3,"1,146.03"
CZE,Europe,Czechia,"10,493,990.00","8,045,247,353.00","6,980,872.00","19,009,231.00",3,"5,543,922.00","4,756,085.00","43,478.00",19.03,11.58, -   ,79.38, -   ,227.49,38.3,30.5,"26,822.51"
URY,South America,Uruguay,"3,422,796.00","8,045,247,353.00","3,010,451.00","9,036,273.00",3,"3,122,733.00","1,041,111.00","7,660.00",14.66,10.36,0.1,77.91, -   ,160.71,19.9,14,"17,924.00"
UZB,Asia,Uzbekistan,"34,627,648.00","8,045,247,353.00","22,087,857.00","82,204,584.00",4,"16,251,340.00","175,081.00","1,016.00",4.47,2.87, -   ,71.72, -   ,724.42,24.7,1.3,"1,993.42"
YEM,Asia,Yemen,"33,696,612.00","8,045,247,353.00","1,050,112.00","1,298,447.00",1,"68,808.00","11,945.00","2,159.00",2.92,1.58,18.8,66.12,49.54,495,29.2,7.6,543.64
ESH,Africa,Western Sahara,"576,005.00","8,045,247,353.00", -   , -   , NULL , -   , -   , -   , -   ,1.38, -   ,70.26, -   , -   , -   , -   , -   
GMB,Africa,Gambia,"2,705,995.00","8,045,247,353.00","674,314.00","1,444,492.00",2,"53,741.00","12,626.00",372,2.34,1.42,10.1,62.05,7.88,331.43,31.2,0.7,772.15
GNQ,Africa,Equatorial Guinea,"1,674,916.00","8,045,247,353.00","270,109.00","488,738.00",2,"4,597.00","17,130.00",183,2.85,1.75, -   ,58.74,24.64,202.81, -   , -   ,"7,406.08"
GRD,North America,Grenada,"125,459.00","8,045,247,353.00","44,241.00","90,686.00",2,"7,411.00","19,693.00",238,7.3,5.02, -   ,72.4, -   ,243.96, -   , -   ,"9,010.51"
HND,North America,Honduras,"10,432,858.00","8,045,247,353.00","6,596,213.00","17,074,861.00",3,"4,872,295.00","472,755.00","11,114.00",4.65,2.88,16,75.27,84.17,240.21, -   ,2,"2,771.72"
IRN,Asia,Iran,"88,550,568.00","8,045,247,353.00","65,199,831.00","155,461,757.00",2,"31,352,288.00","7,626,527.00","146,799.00",5.44,3.18,0.2,76.68, -   ,270.31,21.1,0.8,"4,084.20"
